Equipment ID	Name	Type	Icon	Img	Required Level	Price	HP	MP	Melee	Shoot	Armor	Evasion	Accuracy	Lethality	Corrosion	Resistance	Initiative	Counterattack	Block	Armor Penetration	Particle Shield	Energy Recovery	Life Recovery	Attack Times
1501	新手芯片	5	IconSet2-3	0	10	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1502	守护芯片	5	IconSet2-3	0	30	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1503	影子芯片	5	IconSet2-3	0	30	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1504	精准芯片	5	IconSet2-3	0	30	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1505	能量芯片	5	IconSet2-3	0	30	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1506	血色芯片	5	IconSet2-3	0	40	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1507	毁灭芯片	5	IconSet2-3	0	40	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1508	强袭芯片	5	IconSet2-3	0	40	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1509	奔雷芯片	5	IconSet2-3	0	40	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1510	赤虹芯片	5	IconSet2-3	0	50	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1511	星陨芯片	5	IconSet2-3	0	50	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1512	英雄芯片	5	IconSet2-3	0	10	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1513	负核芯片	5	IconSet2-3	0	50	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1514	超人芯片	5	IconSet2-3	0	50	4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
