Equipment ID	Name	Type	Icon	Img	Required Level	Price	HP	MP	Melee	Shoot	Armor	Evasion	Accuracy	Lethality	Corrosion	Resistance	Initiative	Counterattack	Block	Armor Penetration	Particle Shield	Energy Recovery	Life Recovery	Attack Times
1201	火箭炮	6	IconSet2-6	28	1	500	0	0	0	600	0	0	0	25	2	0	0	0	0	36	0	0	0	0
1202	热能枪	7	IconSet2-6	29	2	500	0	0	0	375	0	0	0	37	12	0	0	0	0	27	0	0	0	2
1203	镭射炮	6	IconSet2-6	30	15	1100	0	0	0	1282	0	0	0	60	15	0	0	0	0	270	0	0	0	0
1204	电能机枪	7	IconSet2-6	31	15	1100	0	0	0	801	0	0	0	90	90	0	0	0	0	202	0	0	0	2
1205	核融炮	6	IconSet2-6	32	20	2000	0	0	0	1563	0	0	0	74	20	0	0	0	0	360	0	0	0	0
1206	光能枪	7	IconSet2-6	33	20	2000	0	0	0	977	0	0	0	111	120	0	0	0	0	270	0	0	0	2
1207	离子炮	6	IconSet2-6	34	25	3000	0	0	0	1858	0	0	0	88	25	0	0	0	0	450	0	0	0	0
1208	电磁机枪	7	IconSet2-6	35	25	3000	0	0	0	1161	0	0	0	132	150	0	0	0	0	337	0	0	0	2
1209	迈特炮	6	IconSet2-6	36	30	4400	0	0	0	2164	0	0	0	102	30	0	0	0	0	540	0	0	0	0
1210	光子枪	7	IconSet2-6	37	30	4400	0	0	0	1352	0	0	0	153	180	0	0	0	0	405	0	0	0	2
1211	制导发射炮	6	IconSet2-6	38	35	6000	0	0	0	2479	0	0	0	116	35	0	0	0	0	630	0	0	0	0
1212	电离高能枪	7	IconSet2-6	39	35	5000	0	0	0	1549	0	0	0	174	210	0	0	0	0	472	0	0	0	2
1213	金属风暴	6	IconSet2-6	40	40	7800	0	0	0	2809	0	0	0	130	40	0	0	0	0	720	0	0	0	0
1214	激光超导枪	7	IconSet2-6	41	40	7800	0	0	0	1755	0	0	0	195	240	0	0	0	0	540	0	0	0	2
1215	赤色彗星	6	IconSet2-6	42	40	7800	0	0	0	3370	0	0	0	156	48	0	0	0	0	864	0	0	0	0
1216	死亡救赎	7	IconSet2-6	43	40	7800	0	0	0	2106	0	0	0	234	288	0	0	0	0	648	0	0	0	2
1217	圣魂离子炮	6	IconSet2-6	44	45	7800	0	0	0	3463	0	0	0	158	49	0	0	0	0	891	0	0	0	0
1218	夺魂光能枪	7	IconSet2-6	45	45	7800	0	0	0	2163	0	0	0	237	297	0	0	0	0	667	0	0	0	2
1219	骇客炮	6	IconSet2-6	46	20	4400	0	0	0	2321	0	0	0	109	27	0	0	0	0	585	0	0	0	0
1220	光子冲击	7	IconSet2-6	47	20	4400	0	0	0	1450	0	0	0	163	195	0	0	0	0	438	0	0	0	2
1221	物质湮灭炮	6	IconSet2-6	48	45	4400	0	0	0	4617	0	0	0	173	55	0	0	0	0	990	0	0	0	0
1222	粒子干涉枪	7	IconSet2-6	49	45	4400	0	0	0	2405	0	0	0	260	330	0	0	0	0	742	0	0	0	2
1223	月光微波炮	6	IconSet2-6	50	50	4400	0	0	0	5590	0	0	0	204	66	0	0	0	0	1688	0	0	0	0
