Equipment ID	Name	Type	Icon	Img	Required Level	Price	HP	MP	Melee	Shoot	Armor	Evasion	Accuracy	Lethality	Corrosion	Resistance	Initiative	Counterattack	Block	Armor Penetration	Particle Shield	Energy Recovery	Life Recovery	Attack Times
1001	合金战锤	1	IconSet2-0	6	2	500	0	0	620	0	0	0	0	25	1	0	0	0	0	39	0	0	0	0
1002	合金剑	2	IconSet2-0	7	2	500	0	0	387	0	0	0	0	35	10	0	0	0	0	30	0	0	0	2
1003	流星战锤	1	IconSet2-0	5	15	1100	0	0	1321	0	0	0	0	60	10	0	0	0	0	292	0	0	0	0
1004	碳钢剑	2	IconSet2-0	8	15	1100	0	0	826	0	0	0	0	84	75	0	0	0	0	225	0	0	0	2
1005	金刚战锤	1	IconSet2-0	9	20	2000	0	0	1610	0	0	0	0	74	13	0	0	0	0	390	0	0	0	0
1006	脉冲剑	2	IconSet2-0	10	20	2000	0	0	1006	0	0	0	0	103	100	0	0	0	0	300	0	0	0	2
1007	断魂斧	1	IconSet2-0	11	25	3000	0	0	1913	0	0	0	0	88	16	0	0	0	0	487	0	0	0	0
1008	光子剑	2	IconSet2-0	12	25	3000	0	0	1195	0	0	0	0	123	125	0	0	0	0	375	0	0	0	2
1009	中子镰刀	1	IconSet2-0	4	30	4400	0	0	2229	0	0	0	0	102	20	0	0	0	0	585	0	0	0	0
1010	曲刃剑	2	IconSet2-0	13	30	4400	0	0	1392	0	0	0	0	142	150	0	0	0	0	450	0	0	0	2
1011	太阳光子斧	1	IconSet2-0	15	35	6000	0	0	2553	0	0	0	0	116	23	0	0	0	0	682	0	0	0	0
1012	离子水晶剑	2	IconSet2-0	16	35	6000	0	0	1596	0	0	0	0	162	175	0	0	0	0	525	0	0	0	2
1013	血色裁决	1	IconSet2-0	18	40	7800	0	0	2893	0	0	0	0	130	26	0	0	0	0	780	0	0	0	0
1014	星辰极光剑	2	IconSet2-0	14	40	7800	0	0	1808	0	0	0	0	182	200	0	0	0	0	600	0	0	0	2
1015	巨龙咆哮	1	IconSet2-0	17	40	7800	0	0	3471	0	0	0	0	156	31	0	0	0	0	936	0	0	0	0
1016	远古战魂	2	IconSet2-0	18	40	7800	0	0	2169	0	0	0	0	218	240	0	0	0	0	720	0	0	0	2
1017	幽魂战斧	1	IconSet2-0	19	45	7800	0	0	3567	0	0	0	0	158	33	0	0	0	0	964	0	0	0	0
1018	英灵圣剑	2	IconSet2-0	20	45	7800	0	0	2229	0	0	0	0	221	247	0	0	0	0	742	0	0	0	2
1019	死亡镰刀	1	IconSet2-0	21	20	4400	0	0	2391	0	0	0	0	109	21	0	0	0	0	633	0	0	0	0
1020	钛金圣剑	2	IconSet2-0	22	20	4400	0	0	1494	0	0	0	0	152	162	0	0	0	0	487	0	0	0	2
1021	稀有离子光剑	2	IconSet2-0	23	0	500	0	0	387	0	0	0	0	35	10	0	0	0	0	30	0	0	0	2
1022	单分子切割刀	1	IconSet2-0	24	45	500	0	0	4758	0	0	0	0	173	36	0	0	0	0	1072	0	0	0	0
1023	高周波短剑	2	IconSet2-0	25	45	500	0	0	2478	0	0	0	0	243	275	0	0	0	0	825	0	0	0	2
1024	昆古尼尔	1	IconSet2-0	26	50	500	0	0	5760	0	0	0	0	204	44	0	0	0	0	1787	0	0	0	0
1025	郎基努斯	2	IconSet2-0	27	50	500	0	0	2999	0	0	0	0	286	330	0	0	0	0	990	0	0	0	2
1101	碳钢盾	3	IconSet2-1	40	15	400	0	0	0	0	195	0	0	0	0	34	0	67	37	0	0	0	0	0
1102	超合金盾	3	IconSet2-1	41	20	700	0	0	0	0	245	0	0	0	0	43	0	90	50	0	0	0	0	0
1103	电磁盾	3	IconSet2-1	42	25	1100	0	0	0	0	295	0	0	0	0	52	0	112	62	0	0	0	0	0
1104	脉冲离子盾	3	IconSet2-1	43	30	1600	0	0	0	0	345	0	0	0	0	62	0	135	75	0	0	0	0	0
1105	涡轮脉冲盾	3	IconSet2-1	44	35	2200	0	0	0	0	395	0	0	0	0	71	0	157	87	0	0	0	0	0
1106	黄昏凯歌	3	IconSet2-1	45	40	2900	0	0	0	0	445	0	0	0	0	81	0	180	100	0	0	0	0	0
1107	无双	3	IconSet2-1	46	45	2900	0	0	0	0	544	0	0	0	0	99	0	222	123	0	0	0	0	0
1108	稀有骸骨盾	3	IconSet2-1	47	0	2900	0	0	0	0	195	0	0	0	0	34	0	67	37	0	0	0	0	0
1109	记忆金属盾	3	IconSet2-1	48	45	2900	0	0	0	0	599	0	0	0	0	110	0	137	247	0	0	0	0	0
1110	埃癸斯之盾	3	IconSet2-1	49	50	2900	0	0	0	0	709	0	0	0	0	130	0	137	247	0	0	0	0	0
