Equipment ID	Name	Type	Icon	Img	Required Level	Price	HP	MP	Melee	Shoot	Armor	Evasion	Accuracy	Lethality	Corrosion	Resistance	Initiative	Counterattack	Block	Armor Penetration	Particle Shield	Energy Recovery	Life Recovery	Attack Times
1301	新手羽翼	4	IconSet2-2	23	10	500	0	0	120	117	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1302	生命之翼	4	IconSet2-2	24	30	2700	0	0	258	53	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1303	恶魔之翼	4	IconSet2-2	25	30	2700	0	0	57	250	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1304	精准机翼	4	IconSet2-2	26	30	2700	0	0	157	152	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1305	天使之翼	4	IconSet2-2	27	40	4800	0	0	335	324	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1306	万灵之翼	4	IconSet2-2	28	40	4800	0	335	324	331	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1307	死亡的空灵之翼	4	IconSet2-2	29	50	4800	0	0	458	95	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1308	致命的空灵之翼	4	IconSet2-2	30	50	4800	0	0	100	445	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1309	英雄羽翼	4	IconSet2-2	31	10	4800	0	0	494	480	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1310	稀有天空之翼	4	IconSet2-2	32	0	500	0	0	120	117	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1311	奇异的空灵之翼	4	IconSet2-2	33	50	4800	0	0	364	356	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1312	超人机翼	4	IconSet2-2	34	50	4800	0	0	364	356	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1313	纳米聚核之翼	4	IconSet2-2	35	50	4800	0	0	550	114	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1314	融合聚核之翼	4	IconSet2-2	36	50	4800	0	0	121	535	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1315	智能聚核之翼	4	IconSet2-2	37	50	4800	0	0	440	427	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1316	霸者之翼	4	IconSet2-2	38	50	4800	0	0	520	520	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1317	黄金之翼	4	IconSet2-2	39	50	4800	0	0	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	1
